Container_ID,AV_no,Boat_mass_g,Boat_AV_dry_mass_g
8,10,1.553,1.5674
26,10,1.9262,1.9404
21,1,1.5186,1.5197
5,10,1.9849,2.0003
19,12,1.7313,1.7507
23,10,1.6077,1.6269
11,8,1.9541,1.9650
32,8,1.8313,1.8439
18,12,1.8939,1.9143
20,11,1.5428,1.5678
24,10,1.7395,1.7617
29,11,1.4982,1.5151
12,12,2.0699,2.0890
15,9,2.0569,2.0732
9,13,1.7348,1.7577
4,3,2.0198,2.0257
30,13,1.9417,1.9579
16,12,1.6116,1.6288
6,11,2.0102,2.0306
27,9,1.7735,1.7899
28,12,1.8258,1.8426
13,9,2.0188,2.0337
2,10,1.9388,1.9563
7,14,1.9588,1.9769
10,9,1.663,1.6754
22,10,1.8535,1.8719
17,11,2.0446,2.0585
14,12,1.9835,2.0020
3,12,1.8336,1.8566
25,12,1.8371,1.8557
