section_ID,area_pre,area_post2,area_change,scan_page_pre,scan_page_post2,threshold_post,notes_pre,notes_post2
1.1.1,3.664,3.719,0.055,Control_Reduced_1of3_pre,AV_choice_post_scan9,0,,shadows; used polygon tool
1.1.10,3.659,3.662,0.003,AV_Reduced_3of3_pre,AV_choice_post_scan6,129,,shadows
1.1.2,3.823,3.796,-0.027,AV_Reduced_1of3_pre,AV_choice_post_scan2,155,,
1.1.3,3.8,3.837,0.037,Control_Ambient_1of3_pre,AV_choice_post_scan12,155,,
1.1.4,3.788,3.821,0.033,AV_Ambient_3of3_pre,AV_choice_post_scan6,155,,
1.1.5,3.785,3.782,-0.003,Control_Ambient_3of3_pre,AV_choice_post_scan1,155,,
1.1.6,3.727,3.759,0.032,Control_Reduced_3of3_pre,AV_choice_post_scan11,155,,
1.1.7,3.785,3.672,-0.113,AV_Reduced_3of3_pre,AV_choice_post_scan5,155,,multiple segments; added all segments areas to get overall area 
1.1.8,3.749,3.758,0.009,AV_Ambient_1of3_pre,AV_choice_post_scan6,155,,
1.1.9,3.715,3.801,0.086,Control_Ambient_2of3_pre,AV_choice_post_scan10,155,,
1.4.1,3.81,3.405,-0.405,AV_Ambient_2of3_pre,AV_choice_post_scan2,155,,
1.4.10,4.01,4.046,0.036,Control_Ambient_2of3_pre,AV_choice_post_scan9,130,,shadows
1.4.2,3.999,4.028,0.029,Control_Reduced_3of3_pre,AV_choice_post_scan7,155,,
1.4.3,4.052,3.921,-0.131,AV_Reduced_1of3_pre,AV_choice_post_scan3,139,,grazing and shadow
1.4.4,4.014,3.994,-0.02,Control_Ambient_3of3_pre,AV_choice_post_scan8,133,,shadows
1.4.5,4.011,3.95,-0.061,AV_Reduced_2of3_pre,AV_choice_post_scan1,155,,
1.4.6,4.066,4.09,0.024,Control_Ambient_2of3_pre,AV_choice_post_scan12,155,,
1.4.7,4.036,3.891,-0.145,AV_Ambient_1of3_pre,AV_choice_post_scan5,145,,shadows
1.4.8,4.003,3.989,-0.014,AV_Reduced_3of3_pre,AV_choice_post_scan2,155,,
1.4.9,3.962,4.01,0.048,Control_Ambient_3of3_pre,AV_choice_post_scan9,155,,
10.1.1,3.473,3.424,-0.049,AV_Ambient_2of3_pre,AV_choice_post_scan2,155,,
10.1.10,3.53,3.566,0.036,Control_Reduced_3of3_pre,AV_choice_post_scan12,155,,
10.1.2,3.568,3.599,0.031,Control_Reduced_3of3_pre,AV_choice_post_scan7,155,,
10.1.3,3.595,3.611,0.016,AV_Ambient_2of3_pre,AV_choice_post_scan3,155,,
10.1.4,3.569,3.582,0.013,AV_Reduced_1of3_pre,AV_choice_post_scan3,132,,shadows
10.1.5,3.553,3.525,-0.028,Control_Ambient_3of3_pre,AV_choice_post_scan1,155,,
10.1.6,3.568,3.529,-0.039,AV_Ambient_3of3_pre,AV_choice_post_scan1,155,,
10.1.7,3.591,3.6,0.009,Control_Ambient_2of3_pre,AV_choice_post_scan10,155,,
10.1.8,3.53,3.534,0.004,Control_Reduced_2of3_pre,AV_choice_post_scan8,107,,shadows
10.1.9,3.492,3.508,0.016,AV_Reduced_2of3_pre,AV_choice_post_scan5,125,,shadows
10.3.1,3.614,3.686,0.072,Control_Reduced_1of3_pre,AV_choice_post_scan9,0,,shadows; used polygon tool
10.3.10,3.84,3.841,0.001,Control_Reduced_2of3_pre,AV_choice_post_scan11,155,,
10.3.2,3.752,3.737,-0.015,Control_Ambient_1of3_pre,AV_choice_post_scan7,0,,used polygon tool
10.3.3,3.833,3.838,0.005,AV_Reduced_2of3_pre,AV_choice_post_scan2,155,,
10.3.4,3.784,3.811,0.027,Control_Reduced_1of3_pre,AV_choice_post_scan11,155,,
10.3.5,3.831,3.762,-0.069,AV_Reduced_2of3_pre,AV_choice_post_scan1,155,,
10.3.6,3.835,3.885,0.05,Control_Reduced_3of3_pre,AV_choice_post_scan11,155,,
10.3.7,3.821,3.83,0.009,AV_Ambient_1of3_pre,AV_choice_post_scan5,155,,
10.3.8,3.818,3.83,0.012,Control_Ambient_2of3_pre,AV_choice_post_scan7,132,,shadows
