section_ID,treatment,mass_mg,Notes
11.10.3,D,8.71,
1.4.1,C,11.72,
7.11.2,C,13.72,
10.3.9,B,14.15,
4.6.9,A,13.76,
4.6.1,A,13.79,
11.10.1,D,11.33,
1.4.8,C,14.03,
26.7.8,B,14.38,
26.7.2,B,15.25,
28.11.2,A,10.77,
15.6.8,D,10.00,
1.1.2,C,11.59,
17.11.8,A,12.22,
24.6.3,D,9.18,
13.1.3,C,14.58,
10.3.3,B,13.63,
7.11.8,C,12.99,
11.2.2,D,12.89,
21.4.2,B,13.45,
17.10.2,A,14.47,
4.7.3,A,9.85,
21.4.8,B,11.13,
28.3.8,A,8.91,
24.11.3,D,11.69,
13.1.7,C,15.10,
11.2.7,D,13.95,
11.9.3,D,12.64,
1.4.3,C,12.78,
13.6.3,C,12.29,
10.1.3,B,13.70,
28.3.3,A,10.33,
21.10.3,B,8.24,
28.11.3,A,10.17,
15.6.1,D,12.84,
7.8.1,C,14.20,
26.9.1,B,8.51,
24.6.10,D,11.86,
7.8.4,C,14.38,
28.3.1,A,11.35,
10.1.4,B,13.87,
4.6.4,A,13.02,
11.10.4,D,7.09,
17.10.10,A,14.49,
24.6.6,D,10.06,
7.8.10,C,17.66,
21.4.10,B,14.29,
11.10.5,D,11.78,
1.1.5,C,11.97,
13.1.6,A or C,13.52,"Faded C also on tag, probably C"
10.1.6,B,14.07,
17.11.6,A,11.99,
17.10.7,A,13.82,
10.1.5,B,15.21,
4.7.5,A,11.67,
17.10.5,A,15.29,
10.3.5,B,13.45,
1.4.5,C,13.52,
24.6.5,D,9.02,
26.9.7,B,9.94,
17.11.10,A,13.01,
10.1.10,B,14.46,
13.6.10,C,11.92,
11.2.10,D,12.37,
4.6.6,A,13.76,
26.9.6,B,11.29,
7.8.6,C,13.10,
11.10.6,D,8.77,
17.11.3,A,12.89,
26.7.3,B,12.62,
1.1.3,C,10.76,
11.10.2,D,10.12,
17.10.3,A,14.74,
21.4.3,B,12.44,
7.8.3,C,13.61,
15.6.3,D,12.54,
17.10.6,A,15.67,
11.2.6,B or D,12.89,"Bag says B, tag says D"
1.4.6,C,12.87,
21.10.6,B or D,8.98,"Bag says D, tag says B"
11.2.3,D,12.72,
7.11.3,C,13.60,
26.9.3,B,10.60,
4.6.3,A,13.73,
11.9.6,D,14.58,
28.11.6,A,10.15,
11.9.5,D,12.65,
7.11.5,C,13.39,
26.7.5,B,13.84,
17.11.5,A,12.53,
10.3.4,B,13.61,
1.1.6,C,10.47,
10.3.6,B,13.60,
24.6.4,D,8.95,
13.6.4,C,12.90,
28.3.4,A,12.12,
11.10.10,D,9.98,
13.1.10,A or C,15.22,"C on bag, A on tag"
10.3.10,B,13.87,
28.3.10,A,10.90,
10.1.7,B,14.93,
4.7.1,A,12.46,
21.4.1,B,13.49,
7.11.1,C,15.07,
11.9.1,D,16.38,
4.7.7,A,10.75,
13.6.7,C,15.08,
24.6.7,D,9.23,
28.11.4,A,10.41,
26.9.4,B,10.62,
7.11.4,C,15.23,
15.6.4,D,13.67,
17.11.2,A,11.87,
21.10.2,B,8.80,
24.11.2,C,11.24,"Bag says C, tag says D"
7.8.2,D,13.71,"Bag says D, tag says C"
24.11.7,D,11.84,
7.8.7,C,14.60,
21.4.7,B,12.35,
4.6.7,A,14.03,
11.2.8,D,12.56,
11.2.4,D,13.59,
1.4.4,C,13.40,
21.10.4,B,9.54,
17.10.4,A,16.66,
7.8.8,C,15.40,
21.10.8,B,9.71,
4.7.8,A,9.74,
15.6.7,D,13.08,
7.11.7,C,15.78,
24.11.8,D,11.49,
13.6.8,C,12.54,
10.1.8,B,14.77,
26.7.7,B,13.91,
28.3.7,A,11.47,
10.3.1,B,13.68,
28.11.1,A,9.48,
17.10.8,A,14.63,
11.2.1,D,12.69,
1.1.1,C,10.96,
24.6.9,D,10.37,
1.4.9,C,12.28,
21.4.9,B,13.66,
17.10.9,A,15.73,
24.6.1,D,9.44,
13.1.1,C,15.77,
21.4.5,B,13.57,
21.10.1,B,8.82,
17.10.1,A,15.62,
24.11.5,D,11.14,
7.8.5,C,15.70,
4.6.5,A,14.58,
15.6.10,D,13.31,
1.4.10,C,12.57,
21.10.10,B,10.07,
4.6.10,A,16.60,
17.11.9,A,14.91,
24.11.10,D,10.45,
7.11.10,C,13.69,
26.9.10,B,10.35,
4.7.10,A,9.90,
26.9.9,B,11.47,
1.1.9,C,12.62,
11.9.9,D,14.41,
24.11.6,D,10.76,
13.6.6,C,12.72,
21.4.6,B,12.70,
4.7.6,A,8.62,
15.6.2,D,11.50,
13.6.2,C,14.08,
26.9.2,B,9.13,
17.11.1,A,11.83,
13.6.1,C,14.34,
4.6.2,A,12.57,
24.11.1,D,11.40,
26.7.1,B,12.88,
26.9.5,B,9.82,
28.3.5,A,11.01,
15.6.5,D,10.26,
13.6.5,C,13.77,
7.11.9,C,13.63,
26.7.9,B,13.85,
