section_ID,area_pre,area_post,area_change,scan_page_pre,scan_page_post,notes_pre,notes_post
1.1.1,3.664,3.731,0.067,Control_Reduced_1of3_pre,AV_choice_post_scan9,,
1.1.10,3.659,3.683,0.024,AV_Reduced_3of3_pre,AV_choice_post_scan6,,
1.1.2,3.823,3.805,-0.018,AV_Reduced_1of3_pre,AV_choice_post_scan2,,
1.1.3,3.800,3.802,0.002,Control_Ambient_1of3_pre,AV_choice_post_scan12,,
1.1.4,3.788,3.787,-0.001,AV_Ambient_3of3_pre,AV_choice_post_scan6,,
1.1.5,3.785,3.771,-0.014,Control_Ambient_3of3_pre,AV_choice_post_scan1,,
1.1.6,3.727,3.723,-0.004,Control_Reduced_3of3_pre,AV_choice_post_scan11,,
1.1.7,3.785,3.651,-0.134,AV_Reduced_3of3_pre,AV_choice_post_scan5,,
1.1.8,3.749,3.725,-0.024,AV_Ambient_1of3_pre,AV_choice_post_scan6,,
1.1.9,3.715,3.766,0.051,Control_Ambient_2of3_pre,AV_choice_post_scan10,,
1.4.1,3.810,3.413,-0.397,AV_Ambient_2of3_pre,AV_choice_post_scan2,,
1.4.10,4.010,4.061,0.051,Control_Ambient_2of3_pre,AV_choice_post_scan9,,
1.4.2,3.999,4.011,0.012,Control_Reduced_3of3_pre,AV_choice_post_scan7,,
1.4.3,4.052,3.902,-0.150,AV_Reduced_1of3_pre,AV_choice_post_scan3,,
1.4.4,4.014,4.018,0.004,Control_Ambient_3of3_pre,AV_choice_post_scan8,,
1.4.5,4.011,3.938,-0.073,AV_Reduced_2of3_pre,AV_choice_post_scan1,,
1.4.6,4.066,4.053,-0.013,Control_Ambient_2of3_pre,AV_choice_post_scan12,,
1.4.7,4.036,3.854,-0.182,AV_Ambient_1of3_pre,AV_choice_post_scan5,,
1.4.8,4.003,3.999,-0.004,AV_Reduced_3of3_pre,AV_choice_post_scan2,,
1.4.9,3.962,3.993,0.031,Control_Ambient_3of3_pre,AV_choice_post_scan9,,
10.1.1,3.473,3.433,-0.040,AV_Ambient_2of3_pre,AV_choice_post_scan2,,
10.1.10,3.530,3.531,0.001,Control_Reduced_3of3_pre,AV_choice_post_scan12,,
10.1.2,3.568,3.582,0.014,Control_Reduced_3of3_pre,AV_choice_post_scan7,,
10.1.3,3.595,3.58,-0.015,AV_Ambient_2of3_pre,AV_choice_post_scan3,,
10.1.4,3.569,3.58,0.011,AV_Reduced_1of3_pre,AV_choice_post_scan3,,
10.1.5,3.553,3.514,-0.039,Control_Ambient_3of3_pre,AV_choice_post_scan1,,
10.1.6,3.568,3.518,-0.050,AV_Ambient_3of3_pre,AV_choice_post_scan1,,
10.1.7,3.591,3.567,-0.024,Control_Ambient_2of3_pre,AV_choice_post_scan10,,
10.1.8,3.530,3.574,0.044,Control_Reduced_2of3_pre,AV_choice_post_scan8,,
10.1.9,3.492,3.527,0.035,AV_Reduced_2of3_pre,AV_choice_post_scan5,,
10.3.1,3.614,3.681,0.067,Control_Reduced_1of3_pre,AV_choice_post_scan9,,
10.3.10,3.840,3.805,-0.035,Control_Reduced_2of3_pre,AV_choice_post_scan11,,
10.3.2,3.752,3.779,0.027,Control_Ambient_1of3_pre,AV_choice_post_scan7,,
10.3.3,3.833,3.848,0.015,AV_Reduced_2of3_pre,AV_choice_post_scan2,,
10.3.4,3.784,3.775,-0.009,Control_Reduced_1of3_pre,AV_choice_post_scan11,,
10.3.5,3.831,3.751,-0.080,AV_Reduced_2of3_pre,AV_choice_post_scan1,,
10.3.6,3.835,3.848,0.013,Control_Reduced_3of3_pre,AV_choice_post_scan11,,
10.3.7,3.821,3.773,-0.048,AV_Ambient_1of3_pre,AV_choice_post_scan5,,
10.3.8,3.818,3.854,0.036,Control_Ambient_2of3_pre,AV_choice_post_scan7,,
10.3.9,3.812,3.799,-0.013,AV_Reduced_3of3_pre,AV_choice_post_scan6,,
11.10.1,3.065,3.127,0.062,AV_Ambient_2of3_pre,AV_choice_post_scan2,,
11.10.10,3.147,3.137,-0.010,Control_Reduced_2of3_pre,AV_choice_post_scan11,,
11.10.2,3.166,3.202,0.036,Control_Ambient_1of3_pre,AV_choice_post_scan12,,
11.10.3,3.137,2.712,-0.425,AV_Ambient_2of3_pre,AV_choice_post_scan2,,
11.10.4,3.210,2.216,-0.994,AV_Reduced_1of3_pre,AV_choice_post_scan3,,
11.10.5,3.212,3.225,0.013,Control_Ambient_3of3_pre,AV_choice_post_scan1,,
11.10.6,3.113,3.14,0.027,Control_Reduced_2of3_pre,AV_choice_post_scan12,,
11.10.7,3.203,1.494,-1.709,AV_Reduced_3of3_pre,AV_choice_post_scan5,,
11.10.8,3.248,3.249,0.001,Control_Ambient_2of3_pre,AV_choice_post_scan7,,
11.10.9,3.176,3.134,-0.042,AV_Reduced_2of3_pre,AV_choice_post_scan5,,
11.2.1,3.422,3.494,0.072,Control_Reduced_1of3_pre,AV_choice_post_scan9,,
11.2.10,3.423,3.41,-0.013,Control_Reduced_3of3_pre,AV_choice_post_scan12,,
11.2.2,3.495,3.478,-0.017,AV_Reduced_1of3_pre,AV_choice_post_scan2,,
11.2.3,3.543,3.564,0.021,Control_Reduced_1of3_pre,AV_choice_post_scan11,,
11.2.4,3.544,3.568,0.024,Control_Ambient_3of3_pre,AV_choice_post_scan8,,
11.2.5,3.503,3.167,-0.336,AV_Reduced_1of3_pre,AV_choice_post_scan7,,
11.2.6,3.546,3.562,0.016,Control_Ambient_2of3_pre,AV_choice_post_scan12,,
11.2.7,3.606,3.504,-0.102,AV_Reduced_2of3_pre,AV_choice_post_scan1,,
11.2.8,3.570,3.593,0.023,Control_Reduced_3of3_pre,AV_choice_post_scan8,,
11.2.9,3.468,3.39,-0.078,Control_Reduced_2of3_pre,AV_choice_post_scan7,,manual due to shadows
11.9.1,3.653,3.656,0.003,Control_Ambient_1of3_pre,AV_choice_post_scan10,,
11.9.10,3.586,3.543,-0.043,AV_Reduced_3of3_pre,AV_choice_post_scan6,,
11.9.2,3.567,3.529,-0.038,Control_Reduced_3of3_pre,AV_choice_post_scan7,,
11.9.3,3.571,3.161,-0.410,AV_Reduced_1of3_pre,AV_choice_post_scan3,,
11.9.4,3.543,3.389,-0.154,AV_Ambient_2of3_pre,AV_choice_post_scan5,,
11.9.5,3.508,3.513,0.005,Control_Reduced_1of3_pre,AV_choice_post_scan11,,
11.9.6,3.742,3.659,-0.083,Control_Reduced_3of3_pre,AV_choice_post_scan11,,
11.9.7,3.616,3.622,0.006,AV_Ambient_1of3_pre,AV_choice_post_scan5,,
11.9.8,3.641,3.518,-0.123,AV_Ambient_3of3_pre,AV_choice_post_scan3,,
11.9.9,3.641,3.623,-0.018,Control_Ambient_2of3_pre,AV_choice_post_scan10,,
13.1.1,3.881,3.938,0.057,Control_Ambient_3of3_pre,AV_choice_post_scan9,,
13.1.10,3.855,3.871,0.016,Control_Reduced_2of3_pre,AV_choice_post_scan11,,
13.1.2,3.891,3.888,-0.003,Control_Ambient_1of3_pre,AV_choice_post_scan7,,
13.1.3,4.003,3.433,-0.570,AV_Reduced_2of3_pre,AV_choice_post_scan2,,
13.1.4,4.103,4.095,-0.008,AV_Ambient_2of3_pre,AV_choice_post_scan5,,
13.1.5,3.948,3.984,0.036,AV_Reduced_1of3_pre,AV_choice_post_scan7,,
13.1.6,3.991,3.366,-0.625,AV_Ambient_3of3_pre,AV_choice_post_scan1,,
13.1.7,3.934,3.89,-0.044,AV_Reduced_2of3_pre,AV_choice_post_scan1,,
13.1.8,3.990,3.998,0.008,Control_Ambient_2of3_pre,AV_choice_post_scan7,,
13.1.9,3.995,3.283,-0.712,AV_Ambient_1of3_pre,AV_choice_post_scan6,,
13.6.1,3.692,3.751,0.059,AV_Reduced_2of3_pre,AV_choice_post_scan4,,
13.6.10,2.971,2.989,0.018,Control_Reduced_3of3_pre,AV_choice_post_scan12,really short segment - see post,
13.6.2,3.696,3.739,0.043,AV_Ambient_3of3_pre,AV_choice_post_scan4,,
13.6.3,3.546,3.532,-0.014,AV_Ambient_2of3_pre,AV_choice_post_scan3,,
13.6.4,3.668,3.734,0.066,Control_Reduced_1of3_pre,AV_choice_post_scan11,,
13.6.5,3.749,3.784,0.035,AV_Ambient_2of3_pre,AV_choice_post_scan4,,
13.6.6,3.715,3.728,0.013,AV_Reduced_3of3_pre,AV_choice_post_scan4,,
13.6.7,3.837,3.846,0.009,Control_Ambient_2of3_pre,AV_choice_post_scan10,,
13.6.8,3.652,3.717,0.065,Control_Reduced_2of3_pre,AV_choice_post_scan8,,
13.6.9,3.713,3.333,-0.380,AV_Reduced_3of3_pre,AV_choice_post_scan6,,
15.6.1,3.319,3.356,0.037,AV_Reduced_1of3_pre,AV_choice_post_scan3,,
15.6.10,3.287,3.311,0.024,Control_Ambient_2of3_pre,AV_choice_post_scan9,,
15.6.2,3.343,2.954,-0.389,AV_Ambient_3of3_pre,AV_choice_post_scan4,,
15.6.3,3.360,3.409,0.049,Control_Reduced_3of3_pre,AV_choice_post_scan12,,
15.6.4,3.442,3.4,-0.042,Control_Ambient_1of3_pre,AV_choice_post_scan10,,
15.6.5,3.318,3.124,-0.194,AV_Ambient_2of3_pre,AV_choice_post_scan4,,
15.6.6,3.335,3.289,-0.046,AV_Ambient_1of3_pre,AV_choice_post_scan5,,
15.6.7,3.289,3.304,0.015,Control_Ambient_3of3_pre,AV_choice_post_scan8,,
15.6.8,3.320,2.494,-0.826,AV_Reduced_3of3_pre,AV_choice_post_scan2,,
15.6.9,3.319,2.898,-0.421,AV_Reduced_3of3_pre,AV_choice_post_scan6,,
17.10.1,4.014,4.055,0.041,Control_Ambient_3of3_pre,AV_choice_post_scan9,,
17.10.10,4.205,4.125,-0.080,AV_Ambient_1of3_pre,AV_choice_post_scan1,,
17.10.2,4.057,4.025,-0.032,AV_Reduced_1of3_pre,AV_choice_post_scan2,,
17.10.3,4.079,4.1,0.021,Control_Reduced_3of3_pre,AV_choice_post_scan12,,
17.10.4,4.177,4.203,0.026,Control_Ambient_3of3_pre,AV_choice_post_scan8,,
17.10.5,4.147,4.078,-0.069,AV_Reduced_2of3_pre,AV_choice_post_scan1,,
17.10.6,4.143,4.168,0.025,Control_Ambient_2of3_pre,AV_choice_post_scan12,,
17.10.7,4.145,3.965,-0.180,AV_Reduced_2of3_pre,AV_choice_post_scan1,,
17.10.8,4.132,4.172,0.040,Control_Reduced_2of3_pre,AV_choice_post_scan8,,
17.10.9,4.180,4.161,-0.019,Control_Ambient_3of3_pre,AV_choice_post_scan9,,
17.11.1,3.858,3.81,-0.048,AV_Reduced_2of3_pre,AV_choice_post_scan4,,
17.11.10,4.036,4.053,0.017,Control_Reduced_3of3_pre,AV_choice_post_scan12,,
17.11.2,3.851,3.864,0.013,Control_Reduced_1of3_pre,AV_choice_post_scan10,,
17.11.3,3.921,3.947,0.026,Control_Ambient_1of3_pre,AV_choice_post_scan12,,
